Date,Open,High,Low,Close,Adj Close,Volume
2013/9/3,3.32,3.35,3.25,3.27,3.27,15543600
2013/9/4,3.28,3.34,3.25,3.31,3.31,29576000
2013/9/5,3.32,3.49,3.3,3.41,3.41,23102100
2013/9/6,3.54,3.6,3.43,3.57,3.57,35974800
2013/9/9,3.63,3.72,3.62,3.69,3.69,23646200
2013/9/10,3.78,3.87,3.77,3.87,3.87,33201100
2013/9/11,3.87,3.89,3.74,3.82,3.82,24009100
2013/9/12,3.76,3.8,3.69,3.75,3.75,28947700
2013/9/13,3.75,3.87,3.72,3.83,3.83,25331400
2013/9/16,3.9,3.9,3.79,3.82,3.82,30569700
2013/9/17,3.83,3.9,3.77,3.85,3.85,25590700
2013/9/18,3.85,3.95,3.83,3.93,3.93,24046300
2013/9/19,3.96,4,3.92,3.95,3.95,24274700
2013/9/20,3.91,3.96,3.79,3.83,3.83,94572300
2013/9/23,3.81,3.87,3.77,3.79,3.79,20920500
2013/9/24,3.79,3.89,3.75,3.8,3.8,21462700
2013/9/25,3.82,3.94,3.79,3.91,3.91,23559200
2013/9/26,3.94,3.98,3.88,3.89,3.89,17460300
2013/9/27,3.87,3.91,3.83,3.86,3.86,11436100
2013/9/30,3.79,3.86,3.75,3.81,3.81,16556900
2013/10/1,3.82,3.94,3.81,3.86,3.86,26056400
2013/10/2,3.83,3.94,3.82,3.9,3.9,18583300
2013/10/3,3.93,3.94,3.86,3.9,3.9,25498500
2013/10/4,3.91,3.95,3.89,3.91,3.91,17134400
2013/10/7,3.87,3.91,3.83,3.86,3.86,16734000
2013/10/8,3.87,3.89,3.68,3.72,3.72,35910400
2013/10/9,3.75,3.75,3.55,3.65,3.65,36053700
2013/10/10,3.72,3.8,3.72,3.79,3.79,24019400
2013/10/11,3.78,3.85,3.75,3.83,3.83,17384600
2013/10/14,3.87,4.05,3.85,3.97,3.97,63648400
2013/10/15,4.03,4.1,4.01,4.02,4.02,52027500
2013/10/16,4.1,4.1,4.03,4.09,4.09,34138300
2013/10/17,4.12,4.13,4.06,4.09,4.09,45838000
2013/10/18,3.56,3.66,3.51,3.53,3.53,108913700
2013/10/21,3.56,3.56,3.3,3.37,3.37,68891000
2013/10/22,3.32,3.34,3.12,3.18,3.18,92506500
2013/10/23,3.2,3.25,3.04,3.14,3.14,65948000
2013/10/24,3.21,3.3,3.16,3.23,3.23,43033200
2013/10/25,3.29,3.39,3.29,3.34,3.34,43346300
2013/10/28,3.38,3.39,3.32,3.32,3.32,23820500
2013/10/29,3.34,3.37,3.32,3.33,3.33,15816500
2013/10/30,3.35,3.36,3.3,3.3,3.3,16208000
2013/10/31,3.31,3.35,3.25,3.34,3.34,18062700
2013/11/1,3.37,3.37,3.3,3.31,3.31,14422000
2013/11/4,3.34,3.38,3.29,3.32,3.32,16749400
2013/11/5,3.32,3.35,3.29,3.33,3.33,14003100
2013/11/6,3.33,3.35,3.3,3.32,3.32,15065300
2013/11/7,3.33,3.33,3.23,3.28,3.28,18856200
2013/11/8,3.26,3.29,3.2,3.27,3.27,12072000
2013/11/11,3.29,3.34,3.25,3.34,3.34,12981500
2013/11/12,3.34,3.45,3.33,3.44,3.44,20185800
2013/11/13,3.5,3.55,3.46,3.54,3.54,28914000
2013/11/14,3.55,3.57,3.47,3.52,3.52,15123200
2013/11/15,3.53,3.53,3.48,3.5,3.5,11570800
2013/11/18,3.53,3.54,3.47,3.47,3.47,13170900
2013/11/19,3.46,3.48,3.36,3.42,3.42,20169800
2013/11/20,3.44,3.46,3.4,3.42,3.42,9937400
2013/11/21,3.43,3.44,3.35,3.37,3.37,13646200
2013/11/22,3.38,3.39,3.33,3.34,3.34,11315300
2013/11/25,3.36,3.4,3.34,3.39,3.39,11605400
2013/11/26,3.42,3.48,3.4,3.45,3.45,16989300
2013/11/27,3.48,3.58,3.46,3.56,3.56,19876400
2013/11/29,3.6,3.68,3.58,3.64,3.64,15448400
2013/12/2,3.65,3.7,3.56,3.66,3.66,24119700
2013/12/3,3.64,3.71,3.58,3.62,3.62,23323200
2013/12/4,3.57,3.63,3.48,3.57,3.57,21609700
2013/12/5,3.56,3.65,3.55,3.64,3.64,14465700
2013/12/6,3.67,3.7,3.63,3.66,3.66,15825300
2013/12/9,3.66,3.7,3.63,3.63,3.63,10470700
2013/12/10,3.63,3.78,3.6,3.72,3.72,29571500
2013/12/11,3.74,3.77,3.66,3.68,3.68,13436700
2013/12/12,3.68,3.75,3.65,3.69,3.69,10013900
2013/12/13,3.7,3.72,3.65,3.69,3.69,9074200
2013/12/16,3.64,3.66,3.51,3.59,3.59,22228600
2013/12/17,3.6,3.67,3.58,3.65,3.65,14836400
2013/12/18,3.64,3.67,3.6,3.65,3.65,12658100
2013/12/19,3.64,3.68,3.6,3.65,3.65,10419000
2013/12/20,3.64,3.7,3.64,3.69,3.69,12762700
2013/12/23,3.74,3.78,3.72,3.75,3.75,14531000
2013/12/24,3.77,3.8,3.75,3.77,3.77,5798900
2013/12/26,3.8,3.85,3.79,3.8,3.8,9887600
2013/12/27,3.82,3.83,3.76,3.78,3.78,8248800
2013/12/30,3.79,3.88,3.78,3.85,3.85,17519300
2013/12/31,3.87,3.88,3.83,3.87,3.87,12347800
2014/1/2,3.85,3.98,3.84,3.95,3.95,20548400
2014/1/3,3.98,4,3.88,4,4,22887200
2014/1/6,4.01,4.18,3.99,4.13,4.13,42398300
2014/1/7,4.19,4.25,4.11,4.18,4.18,42932100
2014/1/8,4.23,4.26,4.14,4.18,4.18,30678700
2014/1/9,4.2,4.23,4.05,4.09,4.09,30667600
2014/1/10,4.09,4.2,4.07,4.17,4.17,20840800
2014/1/13,4.19,4.2,4.09,4.13,4.13,22856100
2014/1/14,4.14,4.3,4.13,4.3,4.3,42434800
2014/1/15,4.34,4.6,4.32,4.47,4.47,66613100
2014/1/16,4.5,4.51,4.32,4.38,4.38,46975600
2014/1/17,4.15,4.35,4.11,4.18,4.18,45842700
2014/1/21,4.31,4.34,4.13,4.17,4.17,58702900
2014/1/22,3.79,3.82,3.66,3.67,3.67,86329500
2014/1/23,3.67,3.68,3.58,3.62,3.62,29844700
2014/1/24,3.6,3.61,3.41,3.47,3.47,48095800
2014/1/27,3.48,3.49,3.35,3.41,3.41,31332300
2014/1/28,3.43,3.57,3.41,3.54,3.54,27962600
2014/1/29,3.52,3.56,3.45,3.48,3.48,21765000
2014/1/30,3.51,3.52,3.45,3.48,3.48,17111700
2014/1/31,3.45,3.47,3.43,3.43,3.43,13602100
2014/2/3,3.43,3.44,3.33,3.33,3.33,22280200
2014/2/4,3.35,3.43,3.3,3.37,3.37,22681000
2014/2/5,3.36,3.37,3.29,3.31,3.31,14858900
2014/2/6,3.32,3.46,3.32,3.41,3.41,16072900
2014/2/7,3.46,3.5,3.42,3.47,3.47,23119700
2014/2/10,3.5,3.64,3.45,3.63,3.63,21241100
2014/2/11,3.66,3.75,3.65,3.7,3.7,34198100
2014/2/12,3.71,3.73,3.63,3.69,3.69,18321300
2014/2/13,3.64,3.71,3.64,3.7,3.7,13368600
2014/2/14,3.7,3.72,3.64,3.69,3.69,12387900
2014/2/18,3.69,3.72,3.65,3.7,3.7,11956700
2014/2/19,3.7,3.74,3.68,3.72,3.72,14175500
2014/2/20,3.72,3.75,3.66,3.69,3.69,13276100
2014/2/21,3.71,3.75,3.66,3.69,3.69,13606800
2014/2/24,3.71,3.73,3.7,3.71,3.71,10717900
2014/2/25,3.73,3.74,3.66,3.69,3.69,9173500
2014/2/26,3.7,3.72,3.63,3.7,3.7,13211700
2014/2/27,3.69,3.77,3.68,3.71,3.71,18218000
2014/2/28,3.73,3.77,3.7,3.71,3.71,14643200
2014/3/3,3.66,3.7,3.6,3.67,3.67,19555800
2014/3/4,3.7,3.73,3.68,3.7,3.7,10516100
2014/3/5,3.7,3.73,3.69,3.71,3.71,10740200
2014/3/6,3.72,3.75,3.71,3.73,3.73,10713000
2014/3/7,3.75,4.02,3.75,3.95,3.95,55435800
2014/3/10,4.04,4.06,3.8,3.81,3.81,42135800
2014/3/11,3.86,4.01,3.83,3.85,3.85,34951400
2014/3/12,3.86,3.93,3.85,3.91,3.91,14700500
2014/3/13,3.94,3.99,3.84,3.86,3.86,19803000
2014/3/14,3.84,3.9,3.82,3.85,3.85,18161500
2014/3/17,3.88,3.91,3.78,3.8,3.8,20004100
2014/3/18,3.82,3.91,3.81,3.89,3.89,15273700
2014/3/19,3.91,4,3.9,3.98,3.98,28516900
2014/3/20,3.96,4.05,3.9,4.05,4.05,23600600
2014/3/21,4.07,4.14,4.01,4.04,4.04,23871200
2014/3/24,4.05,4.14,3.98,4.05,4.05,20669500
2014/3/25,4.09,4.12,4.02,4.05,4.05,14517000
2014/3/26,4.08,4.1,4.02,4.05,4.05,14799700
2014/3/27,3.99,4.07,3.87,3.91,3.91,24532000
2014/3/28,3.93,3.97,3.87,3.88,3.88,13189200
2014/3/31,3.93,4.02,3.9,4.01,4.01,15386000
2014/4/1,4.04,4.1,4.02,4.07,4.07,18778800
2014/4/2,4.12,4.12,4.06,4.06,4.06,14839500
2014/4/3,4.07,4.1,3.97,4,4,16802300
2014/4/4,4.03,4.11,3.92,4.01,4.01,23427000
2014/4/7,3.98,3.99,3.83,3.88,3.88,24874600
2014/4/8,3.89,4,3.83,3.99,3.99,17339100
2014/4/9,4.01,4.02,3.95,3.98,3.98,11270300
2014/4/10,3.97,4.01,3.84,3.85,3.85,21364300
2014/4/11,3.82,3.85,3.65,3.65,3.65,34428800
2014/4/14,3.72,3.78,3.65,3.71,3.71,22735100
2014/4/15,3.74,3.82,3.72,3.79,3.79,21754300
2014/4/16,3.81,3.83,3.73,3.76,3.76,18173300
2014/4/17,3.78,3.8,3.69,3.69,3.69,32048100
2014/4/21,4.01,4.2,3.96,4.12,4.12,102651500
2014/4/22,4.13,4.31,4.11,4.3,4.3,52806800
2014/4/23,4.28,4.3,4.16,4.25,4.25,29136300
2014/4/24,4.27,4.35,4.2,4.28,4.28,27532800
2014/4/25,4.22,4.26,4.04,4.05,4.05,37810200
2014/4/28,4.09,4.12,3.87,3.96,3.96,31737100
2014/4/29,4.02,4.03,3.96,4.03,4.03,14582900
2014/4/30,4,4.1,3.99,4.09,4.09,18419200
2014/5/1,4.13,4.24,4.1,4.2,4.2,37807300
2014/5/2,4.17,4.2,4.1,4.12,4.12,14479700
2014/5/5,4.1,4.14,4.06,4.09,4.09,9015400
2014/5/6,4.06,4.13,3.98,4.01,4.01,17929300
2014/5/7,4.04,4.04,3.89,3.97,3.97,22374700
2014/5/8,3.95,4.03,3.91,3.93,3.93,14550200
2014/5/9,3.91,3.93,3.85,3.87,3.87,15982900
2014/5/12,3.87,4,3.86,3.97,3.97,14785500
2014/5/13,3.99,4.09,3.98,4.03,4.03,11224000
2014/5/14,4.03,4.06,3.98,3.98,3.98,10349600
2014/5/15,3.96,3.98,3.89,3.96,3.96,18000900
2014/5/16,3.95,4.05,3.91,4.02,4.02,17166600
2014/5/19,4,4.1,3.96,4.09,4.09,18171000
2014/5/20,4.09,4.11,4,4.05,4.05,15647500
2014/5/21,4.06,4.1,4.05,4.1,4.1,13369500
2014/5/22,4.09,4.09,4.01,4.01,4.01,11903100
2014/5/23,4.03,4.06,3.97,4.02,4.02,9831100
2014/5/27,4.05,4.06,4.03,4.04,4.04,6922800
2014/5/28,4.04,4.06,3.99,4,4,12293800
2014/5/29,4.02,4.06,4.01,4.03,4.03,8876700
2014/5/30,4.02,4.03,3.98,4,4,10030600
2014/6/2,4.03,4.03,3.94,3.97,3.97,10859500
2014/6/3,3.96,3.98,3.92,3.94,3.94,10858800
2014/6/4,3.93,4.05,3.93,4.04,4.04,13286000
2014/6/5,4.04,4.09,4.02,4.08,4.08,13723800
2014/6/6,4.09,4.11,4.06,4.06,4.06,8466000
2014/6/9,4.05,4.1,4.04,4.07,4.07,7597200
2014/6/10,4.1,4.23,4.1,4.2,4.2,28322100
2014/6/11,4.18,4.3,4.17,4.29,4.29,20596200
2014/6/12,4.33,4.44,4.28,4.29,4.29,26709500
2014/6/13,4.36,4.39,4.24,4.28,4.28,17734600
2014/6/16,4.26,4.44,4.26,4.44,4.44,26192800
2014/6/17,4.41,4.5,4.41,4.47,4.47,19445000
2014/6/18,4.5,4.5,4.35,4.4,4.4,14702400
2014/6/19,4.42,4.45,4.33,4.36,4.36,10880500
2014/6/20,4.34,4.37,4.07,4.1,4.1,54721600
2014/6/23,4.06,4.08,3.9,4.01,4.01,49634100
2014/6/24,4.01,4.07,3.93,3.94,3.94,20402400
2014/6/25,3.95,4,3.94,3.96,3.96,13844700
2014/6/26,3.95,4.09,3.94,4.03,4.03,21640500
2014/6/27,4.06,4.11,4.04,4.11,4.11,16034600
2014/6/30,4.12,4.25,4.08,4.19,4.19,25850200
2014/7/1,4.21,4.26,4.17,4.22,4.22,29412600
2014/7/2,4.23,4.35,4.22,4.34,4.34,20486500
2014/7/3,4.36,4.4,4.14,4.24,4.24,22521700
2014/7/7,4.23,4.31,4.21,4.26,4.26,21165500
2014/7/8,4.25,4.3,4.1,4.22,4.22,41685800
2014/7/9,4.21,4.29,4.2,4.23,4.23,18462200
2014/7/10,4.18,4.36,4.14,4.29,4.29,39245000
2014/7/11,4.3,4.4,4.29,4.37,4.37,22425600
2014/7/14,4.44,4.65,4.39,4.64,4.64,73046000
2014/7/15,4.63,4.8,4.41,4.53,4.53,156113700
2014/7/16,4.6,4.77,4.57,4.66,4.66,61848100
2014/7/17,4.66,4.68,4.5,4.57,4.57,51309800
2014/7/18,3.73,3.84,3.67,3.83,3.83,137577700
2014/7/21,3.86,3.87,3.75,3.78,3.78,34219100
2014/7/22,3.82,3.86,3.78,3.8,3.8,34004800
2014/7/23,3.82,3.83,3.75,3.76,3.76,31748200
2014/7/24,3.75,3.8,3.71,3.73,3.73,27967600
2014/7/25,3.73,3.79,3.69,3.76,3.76,31793700
2014/7/28,3.77,3.78,3.68,3.73,3.73,31443400
2014/7/29,3.74,3.84,3.73,3.79,3.79,36157400
2014/7/30,3.82,3.88,3.77,3.82,3.82,42981200
2014/7/31,3.8,3.99,3.78,3.91,3.91,112162900
2014/8/1,3.91,4.01,3.87,3.97,3.97,33710000
2014/8/4,3.97,4.02,3.93,4,4,21493200
2014/8/5,3.99,4.11,3.97,4.08,4.08,40330600
2014/8/6,4.06,4.14,4.03,4.12,4.12,16271200
2014/8/7,4.14,4.2,4.07,4.1,4.1,32712300
2014/8/8,4.1,4.15,4.05,4.12,4.12,27166900
2014/8/11,4.03,4.19,3.99,4.14,4.14,29560500
2014/8/12,4.12,4.14,4.08,4.08,4.08,27369900
2014/8/13,4.08,4.15,4.03,4.11,4.11,30396800
2014/8/14,4.1,4.17,4.08,4.08,4.08,26148100
2014/8/15,4.12,4.14,4.07,4.13,4.13,33349200
2014/8/18,4.14,4.22,4.14,4.21,4.21,45381300
2014/8/19,4.2,4.3,4.2,4.27,4.27,23222100
2014/8/20,4.25,4.32,4.22,4.28,4.28,11986600
2014/8/21,4.29,4.29,4.21,4.24,4.24,11939800
2014/8/22,4.22,4.28,4.21,4.25,4.25,8364700
2014/8/25,4.27,4.27,4.18,4.18,4.18,8998200
2014/8/26,4.17,4.22,4.13,4.19,4.19,9183900
2014/8/27,4.2,4.21,4.15,4.16,4.16,7304400
2014/8/28,4.14,4.19,4.07,4.14,4.14,10331400
